epoch,train_loss,val_loss
1,0.4527551110076373,0.34068691581487653
2,0.34346209462306626,0.34530547112226484
3,0.307710341424331,0.3296374574303627
4,0.2837694994586424,0.3161399871110916
5,0.2615890861553734,0.31778391301631925
6,0.24576986583162483,0.32699712067842485
7,0.23112506222260032,0.33187894374132154
8,0.21239249653138823,0.3245148122310638
9,0.19751711642177655,0.29854753613471985
10,0.18247069256551418,0.3135587751865387
11,0.17043716296512104,0.3194972097873688
12,0.1563618334222969,0.33777680844068525
13,0.1470868670508722,0.32136179953813554
14,0.1389398106625485,0.3353696376085281
15,0.13014242542819393,0.32552409917116165
16,0.12301613560626101,0.3263766825199127
17,0.11091874900966633,0.33276545256376266
18,0.1057315533539711,0.33702533692121506
19,0.09891177651609882,0.33129643797874453
20,0.09887353141991873,0.33197085857391356
21,0.06629394438937514,0.3212428480386734
22,0.05892554664346169,0.32194348573684695
23,0.05628625015030332,0.3223880559206009
24,0.053883041345973534,0.3231026142835617
