epoch,train_loss,val_loss
1,0.6115041723345765,0.5827685236930847
2,0.5749456048896997,0.5611506952179803
3,0.5666338659749173,0.5560464223225912
4,0.5604906062973608,0.5596066342459785
5,0.5591809436826423,0.5574298408296373
6,0.5561959631372206,0.5576991213692559
7,0.5582161764107129,0.5705150935384963
8,0.55404794452214,0.5567442668808831
9,0.5519633021685156,0.5582006997532315
10,0.552496049663808,0.5566388262642754
11,0.552499379556958,0.5553216046757168
12,0.5545788550435906,0.5535928646723429
13,0.5524042285609954,0.5576476573944091
14,0.5523455328870528,0.5582274198532104
15,0.5506742580397295,0.5554333435164558
16,0.551375216334173,0.5575635698106554
17,0.5501495784167016,0.5571612331602308
18,0.5506613697155868,0.55650388929579
19,0.549625278699516,0.5541569815741645
20,0.5497518389826954,0.5542624089452955
21,0.5511821123337982,0.5546123464902242
22,0.547569557139189,0.5512748572561476
23,0.5478658547790924,0.5497366693284776
24,0.5484831223983576,0.554342520236969
25,0.5477727287181533,0.5509978890419006
26,0.5468957499407305,0.5508139027489556
27,0.5456489953074125,0.5513313055038452
28,0.5465535012507202,0.5544494801097446
29,0.5432262621303596,0.5566567752096389
30,0.5474407842548767,0.5499038762516446
31,0.5461094786625097,0.5528699530495538
32,0.5439193290058929,0.5515196482340495
33,0.5440585650134795,0.5495852894253201
34,0.5450962585682916,0.5552193111843533
35,0.5443413009737977,0.550284911526574
36,0.5455612646471156,0.5495798044734531
37,0.5435876816806227,0.5489573730362787
38,0.5450228446781045,0.548534615834554
39,0.544720789140994,0.5474405301941766
40,0.5454157121700816,0.5506231811311509
41,0.5434484567382548,0.5501173072391086
42,0.5444663177327355,0.55303948852751
43,0.543282547504595,0.5552954077720642
44,0.5448074199185513,0.5500873419973585
45,0.5445756893051733,0.5514625562561883
46,0.5419275080508524,0.5498345123396979
47,0.5433265395683817,0.5483303745587667
48,0.5434882003482026,0.5498187674416436
49,0.5436445580850734,0.546449437406328
50,0.5432576823352587,0.5509121073616876
51,0.5431112655908754,0.5508860389391581
52,0.5426275811277994,0.5509759942690532
53,0.5403300377697048,0.5535596450169881
54,0.541547033751365,0.5493905239635044
55,0.5405634758200976,0.5479018767674764
56,0.5432301078102376,0.547288285361396
57,0.5416096572828765,0.5516916897561815
58,0.5412126491860588,0.5492554161283705
59,0.5433949643727576,0.549730983045366
60,0.5419685436357365,0.55176410012775
61,0.5372656541000499,0.547561440202925
62,0.535999977647668,0.5461794800228543
63,0.5365228683936714,0.5479744791984558
64,0.5370048797956788,0.5461563640170627
65,0.5340356398927103,0.5455537478129069
66,0.5358183007724214,0.5466264208157857
67,0.5354598918468645,0.5461203906271193
68,0.5341861349816369,0.5465955681271023
69,0.5346637405086272,0.5466512070761786
70,0.5347348386698431,0.5451067394680447
71,0.5352608416930283,0.5450187868542141
72,0.5352069437503815,0.5468228499094645
73,0.5344341078607162,0.546246337890625
74,0.5355482489460766,0.5458050913280911
75,0.5343728959560394,0.5466353257497152
76,0.5334906969035026,0.5460431059201558
77,0.5348650156566412,0.5454563591215346
78,0.533659761937538,0.5451494812965393
79,0.5354740008859351,0.5469312840037875
80,0.5335586550507215,0.5462287796868218
81,0.5346828247651015,0.5457555214564006
82,0.5345240685314235,0.5475812448395623
83,0.532639255175496,0.5455577929814657
84,0.5321697707813565,0.545586519771152
85,0.5349801268317912,0.5457666675249736
86,0.5335974299376554,0.546208197540707
