epoch,train_loss,val_loss
1,0.44496721029281616,0.3496525317430496
2,0.34524955241460986,0.3435795232653618
3,0.31202707300611193,0.3056508004665375
4,0.28623408261779953,0.31026846170425415
5,0.26986722079492215,0.3070540353655815
6,0.246424259913665,0.31464704871177673
7,0.23065459180343117,0.30923292189836504
8,0.21196438641933346,0.30940270870923997
9,0.19871247561861213,0.30671692788600924
10,0.18026071172570785,0.32585092484951017
11,0.17280524653644616,0.31091105937957764
12,0.15659906289703668,0.31718597263097764
13,0.14838716545476888,0.3185001775622368
14,0.13656874885134046,0.3304286688566208
15,0.096867368579907,0.3061151370406151
16,0.0855030028932938,0.30972534865140916
17,0.08095176273069674,0.3084109276533127
18,0.07821976208753241,0.30856516063213346
